X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
1.59995,-0.548671
1.59996,-2.40877
1.59996,-3.90215
1.59997,-4.80147
1.59998,-4.9698
1.59998,-4.38153
1.59999,-3.12621
1.6,-1.39496
1.6,0.548671
1.60001,2.40877
1.60001,3.90215
1.60002,4.80147
1.60003,4.9698
1.60003,4.38153
1.60004,3.12621
1.60005,1.39496
1.60005,-0.548671
1.60006,-2.40877
1.60006,-3.90215
1.60007,-4.80147
1.60008,-4.9698
1.60008,-4.38153
1.60009,-3.12621
1.6001,-1.39496
1.6001,0.548671
1.60011,2.40877
1.60011,3.90215
1.60012,4.80147
1.60013,4.9698
1.60013,4.38153
1.60014,3.12621
1.60015,1.39496
1.60015,-0.548671
1.60016,-2.40877
1.60016,-3.90215
1.60017,-4.80147
1.60018,-4.9698
1.60018,-4.38153
1.60019,-3.12621
1.6002,-1.39496
1.6002,0.548671
1.60021,2.40877
1.60021,3.90215
1.60022,4.80147
1.60023,4.9698
1.60023,4.38153
1.60024,3.12621
1.60025,1.39496
1.60025,-0.548671
1.60026,-2.40877
1.60026,-3.90215
1.60027,-4.80147
1.60028,-4.9698
1.60028,-4.38153
1.60029,-3.12621
1.6003,-1.39496
1.6003,0.548671
1.60031,2.40877
1.60031,3.90215
1.60032,4.80147
1.60033,4.9698
1.60033,4.38153
1.60034,3.12621
1.60035,1.39496
1.60035,-0.548671
1.60036,-2.40877
1.60036,-3.90215
1.60037,-4.80147
1.60038,-4.9698
1.60038,-4.38153
1.60039,-3.12621
1.6004,-1.39496
1.6004,0.548671
1.60041,2.40877
1.60041,3.90215
1.60042,4.80147
1.60043,4.9698
1.60043,4.38153
1.60044,3.12621
1.60045,1.39496
1.60045,-0.548671
1.60046,-2.40877
1.60046,-3.90215
1.60047,-4.80147
1.60048,-4.9698
1.60048,-4.38153
1.60049,-3.12621
1.6005,-1.39496
1.6005,0.548671
1.60051,2.40877
1.60051,3.90215
1.60052,4.80147
1.60053,4.9698
1.60053,4.38153
1.60054,3.12621
1.60055,1.39496
1.60055,-0.548671
1.60056,-2.40877
1.60056,-3.90215
1.60057,-4.80147
1.60058,-4.9698
1.60058,-4.38153
1.60059,-3.12621
1.6006,-1.39496
1.6006,0.548671
1.60061,2.40877
1.60061,3.90215
1.60062,4.80147
1.60063,4.9698
1.60063,4.38153
1.60064,3.12621
1.60065,1.39496
1.60065,-0.548671
1.60066,-2.40877
1.60066,-3.90215
1.60067,-4.80147
1.60068,-4.9698
1.60068,-4.38153
1.60069,-3.12621
