X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0.399955,2.87176
0.399958,3.302
0.399962,3.6115
0.399965,3.75045
0.399968,3.69958
0.399971,3.47037
0.399974,3.09906
0.399977,2.63983
0.39998,2.15907
0.399983,1.72982
0.399987,1.42132
0.39999,1.28336
0.399993,1.33522
0.399996,1.56539
0.399999,1.93767
0.400002,2.39787
0.400005,2.87962
0.400008,3.30986
0.400012,3.61936
0.400015,3.7583
0.400018,3.70743
0.400021,3.47822
0.400024,3.10692
0.400027,2.64768
0.40003,2.16692
0.400033,1.73767
0.400037,1.42917
0.40004,1.29122
0.400043,1.34307
0.400046,1.57325
0.400049,1.94552
0.400052,2.40573
0.400055,2.88747
0.400058,3.31771
0.400062,3.62721
0.400065,3.76616
0.400068,3.71529
0.400071,3.48608
0.400074,3.11477
0.400077,2.65554
0.40008,2.17477
0.400083,1.74553
0.400087,1.43703
0.40009,1.29907
0.400093,1.35092
0.400096,1.5811
0.400099,1.95337
0.400102,2.41358
0.400105,2.89533
0.400108,3.32557
0.400112,3.63506
0.400115,3.77401
0.400118,3.72314
0.400121,3.49393
0.400124,3.12263
0.400127,2.66339
0.40013,2.18263
0.400133,1.75338
0.400137,1.44488
0.40014,1.30692
0.400143,1.35878
0.400146,1.58896
0.400149,1.96123
0.400152,2.42143
0.400155,2.90318
0.400158,3.33342
0.400162,3.64292
0.400165,3.78186
0.400168,3.73099
0.400171,3.50178
0.400174,3.13048
0.400177,2.67124
0.40018,2.19048
0.400183,1.76123
0.400187,1.45273
0.40019,1.31478
0.400193,1.36663
0.400196,1.59681
0.400199,1.96908
0.400202,2.42929
0.400205,2.91103
0.400208,3.34127
0.400212,3.65077
0.400215,3.78972
0.400218,3.73884
0.400221,3.50964
0.400224,3.13833
0.400227,2.67909
0.40023,2.19833
0.400233,1.76908
0.400237,1.46058
0.40024,1.32263
0.400243,1.37448
0.400246,1.60466
0.400249,1.97693
0.400252,2.43714
0.400255,2.91888
0.400258,3.34912
0.400262,3.65862
0.400265,3.79757
0.400268,3.74669
0.400271,3.51749
0.400274,3.14618
0.400277,2.68694
0.40028,2.20618
0.400283,1.77693
0.400287,1.46843
0.40029,1.33048
0.400293,1.38233
0.400296,1.61251
0.400299,1.98478
0.400302,2.44499
0.400305,2.92673
0.400308,3.35697
0.400312,3.66647
0.400315,3.80541
0.400318,3.75454
0.400321,3.52533
0.400324,3.15403
0.400327,2.69479
0.40033,2.21403
0.400333,1.78478
0.400337,1.47628
0.40034,1.33833
0.400343,1.39018
0.400346,1.62036
0.400349,1.99263
0.400352,2.45283
0.400355,2.93458
0.400358,3.36482
0.400362,3.67431
0.400365,3.81326
0.400368,3.76239
0.400371,3.53318
0.400374,3.16188
0.400377,2.70264
0.40038,2.22188
0.400383,1.79263
0.400387,1.48413
0.40039,1.34617
0.400393,1.39802
0.400396,1.6282
0.400399,2.00047
0.400402,2.46068
0.400405,2.94242
0.400408,3.37266
0.400412,3.68216
0.400415,3.82111
0.400418,3.77024
0.400421,3.54103
0.400424,3.16972
0.400427,2.71048
0.40043,2.22972
0.400433,1.80047
0.400437,1.49197
0.40044,1.35402
0.400443,1.40587
0.400446,1.63605
0.400449,2.00832
0.400452,2.46852
0.400455,2.95027
0.400458,3.38051
0.400462,3.69
0.400465,3.82895
0.400468,3.77808
0.400471,3.54887
0.400474,3.17756
0.400477,2.71833
0.40048,2.23756
0.400483,1.80831
0.400487,1.49981
0.40049,1.36186
0.400493,1.41371
0.400496,1.64389
0.400499,2.01616
0.400502,2.47636
0.400505,2.95811
0.400508,3.38835
0.400512,3.69784
0.400515,3.83679
0.400518,3.78592
