X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0,0
6.25e-008,0.00555359
1.25e-007,0.0111071
2.5e-007,0.0222135
5e-007,0.0444215
1e-006,0.0887992
2e-006,0.177248
4e-006,0.351701
8e-006,0.681303
1.425e-005,1.1037
2.05e-005,1.35806
2.675e-005,1.40567
3.3e-005,1.23928
3.925e-005,0.884227
4.55e-005,0.394553
5.175e-005,-0.155188
5.8e-005,-0.681303
6.425e-005,-1.1037
7.05e-005,-1.35806
7.675e-005,-1.40567
8.3e-005,-1.23928
8.925e-005,-0.884227
9.55e-005,-0.394553
0.00010175,0.155188
0.000108,0.681303
0.00011425,1.1037
0.0001205,1.35806
0.00012675,1.40567
0.000133,1.23928
0.00013925,0.884227
0.0001455,0.394553
0.00015175,-0.155188
0.000158,-0.681303
0.00016425,-1.1037
0.0001705,-1.35806
0.00017675,-1.40567
0.000183,-1.23928
0.00018925,-0.884227
0.0001955,-0.394553
0.00020175,0.155188
0.000208,0.681303
0.00021425,1.1037
0.0002205,1.35806
0.00022675,1.40567
0.000233,1.23928
0.00023925,0.884227
0.0002455,0.394553
0.00025175,-0.155188
0.000258,-0.681303
0.00026425,-1.1037
0.0002705,-1.35806
0.00027675,-1.40567
0.000283,-1.23928
0.00028925,-0.884227
0.0002955,-0.394553
0.00030175,0.155188
0.000308,0.681303
0.00031425,1.1037
0.0003205,1.35806
0.00032675,1.40567
0.000333,1.23928
0.00033925,0.884227
0.0003455,0.394553
0.00035175,-0.155188
0.000358,-0.681303
0.00036425,-1.1037
0.0003705,-1.35806
0.00037675,-1.40567
0.000383,-1.23928
0.00038925,-0.884227
0.0003955,-0.394553
0.00040175,0.155188
0.000408,0.681303
0.00041425,1.1037
0.0004205,1.35806
0.00042675,1.40567
0.000433,1.23928
0.00043925,0.884227
0.0004455,0.394553
0.00045175,-0.155188
0.000458,-0.681303
0.00046425,-1.1037
0.0004705,-1.35806
0.00047675,-1.40567
0.000483,-1.23928
0.00048925,-0.884227
0.0004955,-0.394553
0.00050175,0.155188
0.000508,0.681303
0.00051425,1.1037
0.0005205,1.35806
0.00052675,1.40567
0.000533,1.23928
0.00053925,0.884227
0.0005455,0.394553
0.00055175,-0.155188
0.000558,-0.681303
0.00056425,-1.1037
0.0005705,-1.35806
0.00057675,-1.40567
0.000583,-1.23928
0.00058925,-0.884227
0.0005955,-0.394553
0.00060175,0.155188
0.000608,0.681303
0.00061425,1.1037
0.0006205,1.35806
0.00062675,1.40567
0.000633,1.23928
0.00063925,0.884227
0.0006455,0.394553
0.00065175,-0.155188
0.000658,-0.681303
0.00066425,-1.1037
0.0006705,-1.35806
0.00067675,-1.40567
0.000683,-1.23928
0.00068925,-0.884227
0.0006955,-0.394553
0.00070175,0.155188
0.000708,0.681303
0.00071425,1.1037
0.0007205,1.35806
0.00072675,1.40567
0.000733,1.23928
0.00073925,0.884227
0.0007455,0.394553
0.00075175,-0.155188
0.000758,-0.681303
0.00076425,-1.1037
0.0007705,-1.35806
0.00077675,-1.40567
0.000783,-1.23928
0.00078925,-0.884227
0.0007955,-0.394553
0.00080175,0.155188
0.000808,0.681303
0.00081425,1.1037
0.0008205,1.35806
0.00082675,1.40567
0.000833,1.23928
0.00083925,0.884227
0.0008455,0.394553
0.00085175,-0.155188
0.000858,-0.681303
0.00086425,-1.1037
0.0008705,-1.35806
0.00087675,-1.40567
0.000883,-1.23928
0.00088925,-0.884227
0.0008955,-0.394553
0.00090175,0.155188
0.000908,0.681303
0.00091425,1.1037
0.0009205,1.35806
0.00092675,1.40567
0.000933,1.23928
0.00093925,0.884227
0.0009455,0.394553
0.00095175,-0.155188
0.000958,-0.681303
0.00096425,-1.1037
0.0009705,-1.35806
0.00097675,-1.40567
0.000983,-1.23928
0.00098925,-0.884227
0.0009955,-0.394553
0.00100175,0.155188
0.001008,0.681303
0.00101425,1.1037
0.0010205,1.35806
0.00102675,1.40567
0.001033,1.23928
0.00103925,0.884227
0.0010455,0.394553
0.00105175,-0.155188
0.001058,-0.681303
0.00106425,-1.1037
0.0010705,-1.35806
0.00107675,-1.40567
0.001083,-1.23928
0.00108925,-0.884227
0.0010955,-0.394553
0.00110175,0.155188
0.001108,0.681303
0.00111425,1.1037
0.0011205,1.35806
0.00112675,1.40567
0.001133,1.23928
0.00113925,0.884227
0.0011455,0.394553
0.00115175,-0.155188
0.001158,-0.681303
0.00116425,-1.1037
0.0011705,-1.35806
0.00117675,-1.40567
0.001183,-1.23928
0.00118925,-0.884227
0.0011955,-0.394553
0.00120175,0.155188
0.001208,0.681303
0.00121425,1.1037
0.0012205,1.35806
0.00122675,1.40567
0.001233,1.23928
0.00123925,0.884227
0.0012455,0.394553
0.00125175,-0.155188
0.001258,-0.681303
0.00126425,-1.1037
0.0012705,-1.35806
0.00127675,-1.40567
0.001283,-1.23928
0.00128925,-0.884227
0.0012955,-0.394553
0.00130175,0.155188
0.001308,0.681303
0.00131425,1.1037
0.0013205,1.35806
0.00132675,1.40567
0.001333,1.23928
0.00133925,0.884227
0.0013455,0.394553
0.00135175,-0.155188
0.001358,-0.681303
0.00136425,-1.1037
0.0013705,-1.35806
0.00137675,-1.40567
0.001383,-1.23928
0.00138925,-0.884227
0.0013955,-0.394553
0.00140175,0.155188
0.001408,0.681303
0.00141425,1.1037
0.0014205,1.35806
0.00142675,1.40567
0.001433,1.23928
0.00143925,0.884227
0.0014455,0.394553
0.00145175,-0.155188
0.001458,-0.681303
0.00146425,-1.1037
0.0014705,-1.35806
0.00147675,-1.40567
0.001483,-1.23928
0.00148925,-0.884227
0.0014955,-0.394553
0.00150175,0.155188
0.001508,0.681303
0.00151425,1.1037
0.0015205,1.35806
0.00152675,1.40567
0.001533,1.23928
0.00153925,0.884227
0.0015455,0.394553
0.00155175,-0.155188
0.001558,-0.681303
0.00156425,-1.1037
0.0015705,-1.35806
0.00157675,-1.40567
0.001583,-1.23928
0.00158925,-0.884227
0.0015955,-0.394553
0.00160175,0.155188
0.001608,0.681303
0.00161425,1.1037
0.0016205,1.35806
0.00162675,1.40567
0.001633,1.23928
0.00163925,0.884227
0.0016455,0.394553
0.00165175,-0.155188
0.001658,-0.681303
0.00166425,-1.1037
0.0016705,-1.35806
0.00167675,-1.40567
0.001683,-1.23928
0.00168925,-0.884227
0.0016955,-0.394553
0.00170175,0.155188
0.001708,0.681303
0.00171425,1.1037
0.0017205,1.35806
0.00172675,1.40567
0.001733,1.23928
0.00173925,0.884227
0.0017455,0.394553
0.00175175,-0.155188
0.001758,-0.681303
0.00176425,-1.1037
0.0017705,-1.35806
0.00177675,-1.40567
0.001783,-1.23928
0.00178925,-0.884227
0.0017955,-0.394553
0.00180175,0.155188
0.001808,0.681303
0.00181425,1.1037
0.0018205,1.35806
0.00182675,1.40567
0.001833,1.23928
0.00183925,0.884227
0.0018455,0.394553
0.00185175,-0.155188
0.001858,-0.681303
0.00186425,-1.1037
0.0018705,-1.35806
0.00187675,-1.40567
0.001883,-1.23928
0.00188925,-0.884227
0.0018955,-0.394553
0.00190175,0.155188
0.001908,0.681303
0.00191425,1.1037
0.0019205,1.35806
0.00192675,1.40567
0.001933,1.23928
0.00193925,0.884227
0.0019455,0.394553
0.00195175,-0.155188
0.001958,-0.681303
0.00196425,-1.1037
0.0019705,-1.35806
0.00197675,-1.40567
0.001983,-1.23928
0.00198925,-0.884227
0.0019955,-0.394553
0.00200175,0.155188
0.002008,0.681303
0.00201425,1.1037
0.0020205,1.35806
0.00202675,1.40567
0.002033,1.23928
0.00203925,0.884227
0.0020455,0.394553
0.00205175,-0.155188
0.002058,-0.681303
0.00206425,-1.1037
0.0020705,-1.35806
0.00207675,-1.40567
0.002083,-1.23928
0.00208925,-0.884227
0.0020955,-0.394553
0.00210175,0.155188
0.002108,0.681303
0.00211425,1.1037
0.0021205,1.35806
0.00212675,1.40567
0.002133,1.23928
0.00213925,0.884227
0.0021455,0.394553
0.00215175,-0.155188
0.002158,-0.681303
0.00216425,-1.1037
0.0021705,-1.35806
0.00217675,-1.40567
0.002183,-1.23928
0.00218925,-0.884227
0.0021955,-0.394553
0.00220175,0.155188
0.002208,0.681303
0.00221425,1.1037
0.0022205,1.35806
0.00222675,1.40567
0.002233,1.23928
0.00223925,0.884227
0.0022455,0.394553
0.00225175,-0.155188
0.002258,-0.681303
0.00226425,-1.1037
0.0022705,-1.35806
0.00227675,-1.40567
0.002283,-1.23928
0.00228925,-0.884227
0.0022955,-0.394553
0.00230175,0.155188
0.002308,0.681303
0.00231425,1.1037
0.0023205,1.35806
0.00232675,1.40567
0.002333,1.23928
0.00233925,0.884227
0.0023455,0.394553
0.00235175,-0.155188
0.002358,-0.681303
0.00236425,-1.1037
0.0023705,-1.35806
0.00237675,-1.40567
0.002383,-1.23928
0.00238925,-0.884227
0.0023955,-0.394553
0.00240175,0.155188
0.002408,0.681303
0.00241425,1.1037
0.0024205,1.35806
0.00242675,1.40567
0.002433,1.23928
0.00243925,0.884227
0.0024455,0.394553
0.00245175,-0.155188
0.002458,-0.681303
0.00246425,-1.1037
0.0024705,-1.35806
0.00247675,-1.40567
0.002483,-1.23928
0.00248925,-0.884227
0.0024955,-0.394553
0.00250175,0.155188
0.002508,0.681303
0.00251425,1.1037
0.0025205,1.35806
0.00252675,1.40567
0.002533,1.23928
0.00253925,0.884227
0.0025455,0.394553
0.00255175,-0.155188
0.002558,-0.681303
0.00256425,-1.1037
0.0025705,-1.35806
0.00257675,-1.40567
0.002583,-1.23928
0.00258925,-0.884227
0.0025955,-0.394553
0.00260175,0.155188
0.002608,0.681303
0.00261425,1.1037
0.0026205,1.35806
0.00262675,1.40567
0.002633,1.23928
0.00263925,0.884227
0.0026455,0.394553
0.00265175,-0.155188
0.002658,-0.681303
0.00266425,-1.1037
0.0026705,-1.35806
0.00267675,-1.40567
0.002683,-1.23928
0.00268925,-0.884227
0.0026955,-0.394553
0.00270175,0.155188
0.002708,0.681303
0.00271425,1.1037
0.0027205,1.35806
0.00272675,1.40567
0.002733,1.23928
0.00273925,0.884227
0.0027455,0.394553
0.00275175,-0.155188
0.002758,-0.681303
0.00276425,-1.1037
0.0027705,-1.35806
0.00277675,-1.40567
0.002783,-1.23928
0.00278925,-0.884227
0.0027955,-0.394553
0.00280175,0.155188
0.002808,0.681303
0.00281425,1.1037
0.0028205,1.35806
0.00282675,1.40567
0.002833,1.23928
0.00283925,0.884227
0.0028455,0.394553
0.00285175,-0.155188
0.002858,-0.681303
0.00286425,-1.1037
0.0028705,-1.35806
0.00287675,-1.40567
0.002883,-1.23928
0.00288925,-0.884227
0.0028955,-0.394553
0.00290175,0.155188
0.002908,0.681303
0.00291425,1.1037
0.0029205,1.35806
0.00292675,1.40567
0.002933,1.23928
0.00293925,0.884227
0.0029455,0.394553
0.00295175,-0.155188
0.002958,-0.681303
0.00296425,-1.1037
0.0029705,-1.35806
0.00297675,-1.40567
0.002983,-1.23928
0.00298925,-0.884227
0.0029955,-0.394553
