X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0.000965641
6.25e-009,0.00392698,,6.25e-009,0.00100028
1.25e-008,0.0078539,,1.25e-008,0.00103406
2.5e-008,0.0157073,,2.5e-008,0.00109996
5e-008,0.0314108,,5e-008,0.00122224
1e-007,0.0627905,,1e-007,0.00143305
2e-007,0.125333,,2e-007,0.00174964
4e-007,0.24869,,4e-007,0.00214191
5.86179e-007,0.360036,,5.86179e-007,0.00240272
8.20781e-007,0.493154,,8.20781e-007,0.00286505
1.11915e-006,0.64665,,1.11915e-006,0.00400065
1.44628e-006,0.788719,,1.44628e-006,0.0063245
1.95349e-006,0.94162,,1.95349e-006,0.0129483
2.57849e-006,0.998784,,2.57849e-006,0.0270081
3.20349e-006,0.903892,,3.20349e-006,0.0477682
3.82849e-006,0.671391,,3.82849e-006,0.0742405
4.45349e-006,0.336677,,4.45349e-006,0.104278
5.07849e-006,-0.0492939,,5.07849e-006,0.134923
5.70349e-006,-0.42776,,5.70349e-006,0.16287
6.32849e-006,-0.741103,,6.32849e-006,0.184982
6.95349e-006,-0.94162,,6.95349e-006,0.198798
7.57849e-006,-0.998784,,7.57849e-006,0.202921
8.20349e-006,-0.903892,,8.20349e-006,0.197252
8.82849e-006,-0.671391,,8.82849e-006,0.183012
9.45349e-006,-0.336677,,9.45349e-006,0.162569
1.00785e-005,0.0492939,,1.00785e-005,0.139088
1.07035e-005,0.42776,,1.07035e-005,0.116074
1.13285e-005,0.741103,,1.13285e-005,0.0968546
1.19535e-005,0.94162,,1.19535e-005,0.0840831
1.25785e-005,0.998784,,1.25785e-005,0.0793393
1.32035e-005,0.903892,,1.32035e-005,0.0828976
1.38285e-005,0.671391,,1.38285e-005,0.0936991
1.44535e-005,0.336677,,1.44535e-005,0.109526
1.50785e-005,-0.0492939,,1.50785e-005,0.12735
1.57035e-005,-0.42776,,1.57035e-005,0.143795
1.63285e-005,-0.741103,,1.63285e-005,0.155662
1.69535e-005,-0.94162,,1.69535e-005,0.160422
1.75785e-005,-0.998784,,1.75785e-005,0.156613
1.82035e-005,-0.903892,,1.82035e-005,0.144069
1.88285e-005,-0.671391,,1.88285e-005,0.12394
1.94535e-005,-0.336677,,1.94535e-005,0.0985233
2.00785e-005,0.0492939,,2.00785e-005,0.0709194
2.07035e-005,0.42776,,2.07035e-005,0.0445709
2.13285e-005,0.741103,,2.13285e-005,0.0227463
2.19535e-005,0.94162,,2.19535e-005,0.00804215
2.25785e-005,0.998784,,2.25785e-005,0.00198253
2.32035e-005,0.903892,,2.32035e-005,0.00478746
2.38285e-005,0.671391,,2.38285e-005,0.0153452
2.44535e-005,0.336677,,2.44535e-005,0.0313883
2.50785e-005,-0.0492939,,2.50785e-005,0.0498404
2.57035e-005,-0.42776,,2.57035e-005,0.0672825
2.63285e-005,-0.741103,,2.63285e-005,0.0804722
2.69535e-005,-0.94162,,2.69535e-005,0.0868405
2.75785e-005,-0.998784,,2.75785e-005,0.0848876
2.82035e-005,-0.903892,,2.82035e-005,0.0744099
2.88285e-005,-0.671391,,2.88285e-005,0.0565265
2.94535e-005,-0.336677,,2.94535e-005,0.033505
3.00785e-005,0.0492939,,3.00785e-005,0.00841826
3.07035e-005,0.42776,,3.07035e-005,-0.0153162
3.13285e-005,0.741103,,3.13285e-005,-0.0344539
3.19535e-005,0.94162,,3.19535e-005,-0.0464215
3.25785e-005,0.998784,,3.25785e-005,-0.0497163
3.32035e-005,0.903892,,3.32035e-005,-0.0441371
3.38285e-005,0.671391,,3.38285e-005,-0.0308122
3.44535e-005,0.336677,,3.44535e-005,-0.012023
3.50785e-005,-0.0492939,,3.50785e-005,0.00914208
3.57035e-005,-0.42776,,3.57035e-005,0.0292527
3.63285e-005,-0.741103,,3.63285e-005,0.0450558
3.69535e-005,-0.94162,,3.69535e-005,0.0539726
3.75785e-005,-0.998784,,3.75785e-005,0.0544946
3.82035e-005,-0.903892,,3.82035e-005,0.0464116
3.88285e-005,-0.671391,,3.88285e-005,0.0308378
3.94535e-005,-0.336677,,3.94535e-005,0.0100373
4.00785e-005,0.0492939,,4.00785e-005,-0.0129194
4.07035e-005,0.42776,,4.07035e-005,-0.0346171
4.13285e-005,0.741103,,4.13285e-005,-0.0518136
4.19535e-005,0.94162,,4.19535e-005,-0.0619375
4.25785e-005,0.998784,,4.25785e-005,-0.0634873
4.32035e-005,0.903892,,4.32035e-005,-0.0562622
4.38285e-005,0.671391,,4.38285e-005,-0.0413894
4.44535e-005,0.336677,,4.44535e-005,-0.0211487
4.50785e-005,-0.0492939,,4.50785e-005,0.00137367
4.57035e-005,-0.42776,,4.57035e-005,0.0227494
4.63285e-005,-0.741103,,4.63285e-005,0.0397273
4.69535e-005,-0.94162,,4.69535e-005,0.0497309
4.75785e-005,-0.998784,,4.75785e-005,0.051254
4.82035e-005,-0.903892,,4.82035e-005,0.0440894
4.88285e-005,-0.671391,,4.88285e-005,0.0293547
4.94535e-005,-0.336677,,4.94535e-005,0.00931755
5.00785e-005,0.0492939,,5.00785e-005,-0.0129479
5.07035e-005,0.42776,,5.07035e-005,-0.0340229
5.13285e-005,0.741103,,5.13285e-005,-0.050662
5.19535e-005,0.94162,,5.19535e-005,-0.0602907
5.25785e-005,0.998784,,5.25785e-005,-0.0614042
5.32035e-005,0.903892,,5.32035e-005,-0.0537982
5.38285e-005,0.671391,,5.38285e-005,-0.0385964
5.44535e-005,0.336677,,5.44535e-005,-0.0180752
5.50785e-005,-0.0492939,,5.50785e-005,0.00468252
5.57035e-005,-0.42776,,5.57035e-005,0.0262517
5.63285e-005,-0.741103,,5.63285e-005,0.0433844
5.69535e-005,-0.94162,,5.69535e-005,0.0535068
5.75785e-005,-0.998784,,5.75785e-005,0.0551159
5.82035e-005,-0.903892,,5.82035e-005,0.0480071
5.88285e-005,-0.671391,,5.88285e-005,0.0333008
5.94535e-005,-0.336677,,5.94535e-005,0.0132674
6.00785e-005,0.0492939,,6.00785e-005,-0.00901651
6.07035e-005,0.42776,,6.07035e-005,-0.0301301
6.13285e-005,0.741103,,6.13285e-005,-0.0468255
6.19535e-005,0.94162,,6.19535e-005,-0.0565262
6.25785e-005,0.998784,,6.25785e-005,-0.0577254
6.32035e-005,0.903892,,6.32035e-005,-0.050217
6.38285e-005,0.671391,,6.38285e-005,-0.0351229
6.44535e-005,0.336677,,6.44535e-005,-0.0147178
6.50785e-005,-0.0492939,,6.50785e-005,0.00791671
6.57035e-005,-0.42776,,6.57035e-005,0.029357
6.63285e-005,-0.741103,,6.63285e-005,0.0463564
6.69535e-005,-0.94162,,6.69535e-005,0.0563424
6.75785e-005,-0.998784,,6.75785e-005,0.0578128
6.82035e-005,-0.903892,,6.82035e-005,0.0505645
6.88285e-005,-0.671391,,6.88285e-005,0.0357185
6.94535e-005,-0.336677,,6.94535e-005,0.015546
7.00785e-005,0.0492939,,7.00785e-005,-0.00687592
7.07035e-005,0.42776,,7.07035e-005,-0.0281256
7.13285e-005,0.741103,,7.13285e-005,-0.0449547
7.19535e-005,0.94162,,7.19535e-005,-0.0547862
7.25785e-005,0.998784,,7.25785e-005,-0.0561126
7.32035e-005,0.903892,,7.32035e-005,-0.0487277
7.38285e-005,0.671391,,7.38285e-005,-0.0337529
7.44535e-005,0.336677,,7.44535e-005,-0.0134627
7.50785e-005,-0.0492939,,7.50785e-005,0.00906131
7.57035e-005,-0.42776,,7.57035e-005,0.0303958
7.63285e-005,-0.741103,,7.63285e-005,0.0472941
7.69535e-005,-0.94162,,7.69535e-005,0.057184
7.75785e-005,-0.998784,,7.75785e-005,0.0585634
7.82035e-005,-0.903892,,7.82035e-005,0.0512289
7.88285e-005,-0.671391,,7.88285e-005,0.0363018
7.94535e-005,-0.336677,,7.94535e-005,0.0160529
8.00785e-005,0.0492939,,8.00785e-005,-0.00644045
8.07035e-005,0.42776,,8.07035e-005,-0.0277569
8.13285e-005,0.741103,,8.13285e-005,-0.0446482
8.19535e-005,0.94162,,8.19535e-005,-0.0545374
8.25785e-005,0.998784,,8.25785e-005,-0.0559171
8.32035e-005,0.903892,,8.32035e-005,-0.0485811
8.38285e-005,0.671391,,8.38285e-005,-0.0336512
8.44535e-005,0.336677,,8.44535e-005,-0.0134021
8.50785e-005,-0.0492939,,8.50785e-005,0.00908477
8.57035e-005,-0.42776,,8.57035e-005,0.0303856
8.63285e-005,-0.741103,,8.63285e-005,0.0472538
8.69535e-005,-0.94162,,8.69535e-005,0.0571167
8.75785e-005,-0.998784,,8.75785e-005,0.0584722
8.82035e-005,-0.903892,,8.82035e-005,0.0511167
8.88285e-005,-0.671391,,8.88285e-005,0.0361714
8.94535e-005,-0.336677,,8.94535e-005,0.0159068
9.00785e-005,0.0492939,,9.00785e-005,-0.00659987
9.07035e-005,0.42776,,9.07035e-005,-0.0279274
9.13285e-005,0.741103,,9.13285e-005,-0.0448278
9.19535e-005,0.94162,,9.19535e-005,-0.0547241
9.25785e-005,0.998784,,9.25785e-005,-0.0561093
9.32035e-005,0.903892,,9.32035e-005,-0.048777
9.38285e-005,0.671391,,9.38285e-005,-0.0338495
9.44535e-005,0.336677,,9.44535e-005,-0.0136013
9.50785e-005,-0.0492939,,9.50785e-005,0.00888579
9.57035e-005,-0.42776,,9.57035e-005,0.030188
9.63285e-005,-0.741103,,9.63285e-005,0.0470584
9.69535e-005,-0.94162,,9.69535e-005,0.0569244
9.75785e-005,-0.998784,,9.75785e-005,0.0582838
9.82035e-005,-0.903892,,9.82035e-005,0.0509329
9.88285e-005,-0.671391,,9.88285e-005,0.0359926
9.94535e-005,-0.336677,,9.94535e-005,0.0157337
0.000100078,0.0492939,,0.000100078,-0.00676701
0.000100703,0.42776,,0.000100703,-0.0280883
0.000101328,0.741103,,0.000101328,-0.044982
0.000101953,0.94162,,0.000101953,-0.0548716
0.000102578,0.998784,,0.000102578,-0.0562498
0.000103203,0.903892,,0.000103203,-0.0489106
0.000103828,0.671391,,0.000103828,-0.0339759
0.000104453,0.336677,,0.000104453,-0.0137207
0.000105078,-0.0492939,,0.000105078,0.00877337
0.000105703,-0.42776,,0.000105703,0.0300825
0.000106328,-0.741103,,0.000106328,0.0469597
0.000106953,-0.94162,,0.000106953,0.0568324
0.000107578,-0.998784,,0.000107578,0.0581984
0.000108203,-0.903892,,0.000108203,0.0508538
0.000108828,-0.671391,,0.000108828,0.0359197
0.000109453,-0.336677,,0.000109453,0.0156667
0.000110078,0.0492939,,0.000110078,-0.00682831
0.000110703,0.42776,,0.000110703,-0.0281441
0.000111328,0.741103,,0.000111328,-0.0450326
0.000111953,0.94162,,0.000111953,-0.0549171
0.000112578,0.998784,,0.000112578,-0.0562906
0.000113203,0.903892,,0.000113203,-0.0489468
0.000113828,0.671391,,0.000113828,-0.0340079
0.000114453,0.336677,,0.000114453,-0.0137487
0.000115078,-0.0492939,,0.000115078,0.00874912
0.000115703,-0.42776,,0.000115703,0.0300617
0.000116328,-0.741103,,0.000116328,0.0469423
0.000116953,-0.94162,,0.000116953,0.0568181
0.000117578,-0.998784,,0.000117578,0.0581868
0.000118203,-0.903892,,0.000118203,0.0508448
