X--Trace 1::[Bode Result],Y--Trace 1::[Bode Result]
5000,-21.1909
5116.46,-21.7064
5235.64,-22.2353
5357.6,-22.7782
5482.39,-23.3353
5610.09,-23.9072
5740.77,-24.4943
5874.49,-25.0971
6011.32,-25.716
6151.34,-26.3516
6294.63,-27.0043
6441.25,-27.6748
6591.28,-28.3635
6744.81,-29.0711
6901.92,-29.7981
7062.69,-30.5451
7227.2,-31.3128
7395.54,-32.1019
7567.81,-32.9129
7744.08,-33.7466
7924.47,-34.6037
8109.05,-35.4849
8297.93,-36.3909
8491.22,-37.3225
8689,-38.2804
8891.4,-39.2653
9098.5,-40.2782
9310.44,-41.3197
9527.3,-42.3906
9749.22,-43.4916
9976.31,-44.6236
10208.7,-45.7872
10446.5,-46.9832
10689.8,-48.2122
10938.8,-49.4749
11193.6,-50.7719
11454.3,-52.1036
11721.1,-53.4706
11994.2,-54.8732
12273.5,-56.3116
12559.4,-57.7861
12852,-59.2966
13151.3,-60.843
13457.7,-62.425
13771.1,-64.0422
14091.9,-65.6941
14420.2,-67.3796
14756,-69.0979
15099.8,-70.8477
15451.5,-72.6274
15811.4,-74.4355
16179.7,-76.2699
16556.6,-78.1286
16942.2,-80.0092
17336.8,-81.9092
17740.7,-83.8259
18153.9,-85.7563
18576.8,-87.6975
19009.5,-89.6463
19452.3,-91.5996
19905.4,-93.5541
20369,-95.5067
20843.5,-97.4541
21329,-99.3932
21825.8,-101.321
22334.2,-103.235
22854.4,-105.131
23386.8,-107.008
23931.5,-108.864
24488.9,-110.695
25059.4,-112.5
25643.1,-114.278
26240.4,-116.026
26851.6,-117.744
27477,-119.431
28117.1,-121.085
28772,-122.706
29442.2,-124.294
30128,-125.848
30829.8,-127.368
31547.9,-128.854
32282.7,-130.307
33034.7,-131.727
33804.1,-133.113
34591.5,-134.467
35397.3,-135.79
36221.8,-137.08
37065.5,-138.341
37928.9,-139.571
38812.4,-140.772
39716.4,-141.945
40641.5,-143.09
41588.2,-144.209
42556.9,-145.302
43548.2,-146.369
44562.5,-147.413
45600.5,-148.433
46662.7,-149.43
47749.6,-150.406
48861.9,-151.361
50000,-152.296
51164.6,-153.211
52356.4,-154.108
53576,-154.988
54823.9,-155.85
56100.9,-156.696
57407.7,-157.527
58744.9,-158.343
60113.2,-159.145
61513.4,-159.934
62946.3,-160.71
64412.5,-161.475
65912.8,-162.228
67448.1,-162.97
69019.2,-163.702
70626.9,-164.426
72272,-165.141
73955.4,-165.847
75678.1,-166.547
77440.8,-167.24
79244.7,-167.927
81090.5,-168.608
82979.3,-169.285
84912.2,-169.958
86890,-170.628
88914,-171.295
90985,-171.96
93104.4,-172.623
95273,-173.286
97492.2,-173.95
99763.1,-174.614
102087,-175.281
104465,-175.949
106898,-176.621
109388,-177.298
111936,-177.979
114543,-178.667
117211,-179.361
119942,-180.064
122735,-180.776
125594,-181.497
128520,-182.23
131513,-182.976
134577,-183.735
137711,-184.51
140919,-185.301
144202,-186.11
147560,-186.938
150998,-187.788
154515,-188.66
158114,-189.557
161797,-190.481
165566,-191.433
169422,-192.416
173368,-193.432
177407,-194.482
181539,-195.571
185768,-196.699
190095,-197.87
194523,-199.087
199054,-200.352
203690,-201.668
208435,-203.037
213290,-204.464
218258,-205.951
223342,-207.501
228544,-209.116
233868,-210.8
239315,-212.555
244889,-214.382
250594,-216.285
256431,-218.264
262404,-220.32
268516,-222.453
274770,-224.662
281171,-226.946
287720,-229.302
294422,-231.727
301280,-234.215
308298,-236.761
315479,-239.357
322827,-241.996
330347,-244.669
338041,-247.365
345915,-250.075
353973,-252.789
362218,-255.495
370655,-258.184
379289,-260.846
388124,-263.472
397164,-266.054
406415,-268.586
415882,-271.06
425569,-273.473
435482,-275.821
445625,-278.1
456005,-280.31
466627,-282.449
477496,-284.518
488619,-286.516
500000,-288.445
511646,-290.307
523564,-292.103
535760,-293.835
548239,-295.507
561009,-297.12
574077,-298.676
587449,-300.18
601132,-301.631
615134,-303.035
629463,-304.392
644125,-305.705
659128,-306.976
674481,-308.208
690192,-309.402
706269,-310.56
722720,-311.685
739554,-312.777
756781,-313.839
774408,-314.872
792447,-315.876
810905,-316.855
829793,-317.808
849122,-318.737
868900,-319.642
889140,-320.526
909850,-321.388
931044,-322.23
952730,-323.052
974922,-323.855
997631,-324.64
