X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0.000965641
6.25e-008,0.00392698,,6.25e-008,0.000994052
1.25e-007,0.0078539,,1.25e-007,0.00101692
2.5e-007,0.0157073,,2.5e-007,0.00105422
5e-007,0.0314108,,5e-007,0.00110206
8.44795e-007,0.0530551,,8.44795e-007,0.0011812
1.48987e-006,0.0934745,,1.48987e-006,0.00163415
2.09097e-006,0.131002,,2.09097e-006,0.00265408
3.19104e-006,0.199158,,3.19104e-006,0.00690272
4.67706e-006,0.289657,,4.67706e-006,0.0192367
7.38854e-006,0.447739,,7.38854e-006,0.0671761
1.14546e-005,0.659168,,1.14546e-005,0.206899
1.65458e-005,0.862204,,1.65458e-005,0.480658
2.27958e-005,0.990425,,2.27958e-005,0.887479
2.90458e-005,0.967863,,2.90458e-005,1.25502
3.52958e-005,0.797953,,3.52958e-005,1.47069
4.15458e-005,0.506561,,4.15458e-005,1.46705
4.77958e-005,0.13805,,4.77958e-005,1.23042
5.40458e-005,-0.251477,,5.40458e-005,0.795051
6.02958e-005,-0.60272,,6.02958e-005,0.230537
6.65458e-005,-0.862204,,6.65458e-005,-0.373158
7.27958e-005,-0.990425,,7.27958e-005,-0.921171
7.90458e-005,-0.967863,,7.90458e-005,-1.3285
8.52958e-005,-0.797953,,8.52958e-005,-1.53255
9.15458e-005,-0.506561,,9.15458e-005,-1.50236
9.77958e-005,-0.13805,,9.77958e-005,-1.24291
0.000104046,0.251477,,0.000104046,-0.79398
0.000110296,0.60272,,0.000110296,-0.224031
0.000116546,0.862204,,0.000116546,0.380198
0.000122796,0.990425,,0.000122796,0.926676
0.000129046,0.967863,,0.000129046,1.33216
0.000135296,0.797953,,0.000135296,1.53485
0.000141546,0.506561,,0.000141546,1.50397
0.000147796,0.13805,,0.000147796,1.24437
0.000154046,-0.251477,,0.000154046,0.795625
0.000160296,-0.60272,,0.000160296,0.225968
0.000166546,-0.862204,,0.000166546,-0.378036
0.000172796,-0.990425,,0.000172796,-0.924455
0.000179046,-0.967863,,0.000179046,-1.33005
0.000185296,-0.797953,,0.000185296,-1.53292
0.000191546,-0.506561,,0.000191546,-1.50216
0.000197796,-0.13805,,0.000197796,-1.24257
0.000204046,0.251477,,0.000204046,-0.793709
0.000210296,0.60272,,0.000210296,-0.223878
0.000216546,0.862204,,0.000216546,0.380252
0.000222796,0.990425,,0.000222796,0.926675
0.000229046,0.967863,,0.000229046,1.33214
0.000235296,0.797953,,0.000235296,1.53483
0.000241546,0.506561,,0.000241546,1.50396
0.000247796,0.13805,,0.000247796,1.24436
0.000254046,-0.251477,,0.000254046,0.795624
0.000260296,-0.60272,,0.000260296,0.225969
0.000266546,-0.862204,,0.000266546,-0.378035
0.000272796,-0.990425,,0.000272796,-0.924454
0.000279046,-0.967863,,0.000279046,-1.33005
0.000285296,-0.797953,,0.000285296,-1.53292
0.000291546,-0.506561,,0.000291546,-1.50216
0.000297796,-0.13805,,0.000297796,-1.24257
0.000304046,0.251477,,0.000304046,-0.793709
0.000310296,0.60272,,0.000310296,-0.223878
0.000316546,0.862204,,0.000316546,0.380252
