X--Trace 1::[Bode Result],Y--Trace 1::[Bode Result]
5000,1.58756
5116.46,1.58747
5235.64,1.58736
5357.6,1.58722
5482.39,1.58706
5610.09,1.58687
5740.77,1.58664
5874.49,1.58638
6011.32,1.58608
6151.34,1.58573
6294.63,1.58534
6441.25,1.58488
6591.28,1.58437
6744.81,1.58379
6901.92,1.58313
7062.69,1.58238
7227.2,1.58155
7395.54,1.58061
7567.81,1.57956
7744.08,1.57838
7924.47,1.57707
8109.05,1.57561
8297.93,1.57398
8491.22,1.57217
8689,1.57016
8891.4,1.56793
9098.5,1.56546
9310.44,1.56273
9527.3,1.55972
9749.22,1.5564
9976.31,1.55275
10208.7,1.54873
10446.5,1.54431
10689.8,1.53946
10938.8,1.53415
11193.6,1.52835
11454.3,1.52201
11721.1,1.51509
11994.2,1.50756
12273.5,1.49938
12559.4,1.49051
12852,1.48089
13151.3,1.4705
13457.7,1.4593
13771.1,1.44724
14091.9,1.43429
14420.2,1.42042
14756,1.4056
15099.8,1.3898
15451.5,1.37301
15811.4,1.35521
16179.7,1.3364
16556.6,1.31658
16942.2,1.29577
17336.8,1.27397
17740.7,1.25122
18153.9,1.22756
18576.8,1.20303
19009.5,1.17768
19452.3,1.15159
19905.4,1.12483
20369,1.09746
20843.5,1.06957
21329,1.04125
21825.8,1.01258
22334.2,0.983666
22854.4,0.954591
23386.8,0.925446
23931.5,0.89632
24488.9,0.867298
25059.4,0.838461
25643.1,0.809885
26240.4,0.78164
26851.6,0.753793
27477,0.726399
28117.1,0.699513
28772,0.673179
29442.2,0.647436
30128,0.622317
30829.8,0.597848
31547.9,0.574052
32282.7,0.550945
33034.7,0.528537
33804.1,0.506835
34591.5,0.485842
35397.3,0.465557
36221.8,0.445977
37065.5,0.427094
37928.9,0.4089
38812.4,0.391384
39716.4,0.374531
40641.5,0.358329
41588.2,0.342761
42556.9,0.327812
43548.2,0.313463
44562.5,0.299698
45600.5,0.286497
46662.7,0.273844
47749.6,0.26172
48861.9,0.250105
50000,0.238983
51164.6,0.228336
52356.4,0.218144
53576,0.208392
54823.9,0.199062
56100.9,0.190137
57407.7,0.181602
58744.9,0.17344
60113.2,0.165636
61513.4,0.158176
62946.3,0.151044
64412.5,0.144229
65912.8,0.137715
67448.1,0.13149
69019.2,0.125542
70626.9,0.119859
72272,0.11443
73955.4,0.109242
75678.1,0.104287
77440.8,0.099553
79244.7,0.0950312
81090.5,0.0907121
82979.3,0.0865866
84912.2,0.0826464
86890,0.078883
88914,0.0752888
90985,0.0718562
93104.4,0.068578
95273,0.0654474
97492.2,0.0624578
99763.1,0.0596028
102087,0.0568765
104465,0.0542732
106898,0.0517874
109388,0.0494138
111936,0.0471473
114543,0.0449834
117211,0.0429173
119942,0.0409447
122735,0.0390614
125594,0.0372635
128520,0.0355472
131513,0.0339089
134577,0.0323451
137711,0.0308525
140919,0.0294279
144202,0.0280685
147560,0.0267713
150998,0.0255336
154515,0.0243528
158114,0.0232266
161797,0.0221524
165566,0.0211282
169422,0.0201517
173368,0.0192211
177407,0.0183343
181539,0.0174896
185768,0.0166852
190095,0.0159196
194523,0.0151911
199054,0.0144985
203690,0.0138402
208435,0.013215
213290,0.0126218
218258,0.0120593
223342,0.0115265
228544,0.0110224
233868,0.0105461
239315,0.0100968
244889,0.00967348
250594,0.00927554
256431,0.00890222
262404,0.00855283
268516,0.00822675
274770,0.00792335
281171,0.00764205
287720,0.00738226
294422,0.0071434
301280,0.00692491
308298,0.00672619
315479,0.00654663
322827,0.00638559
330347,0.00624243
338041,0.00611644
345915,0.0060069
353973,0.00591305
362218,0.00583409
370655,0.00576921
379289,0.00571758
388124,0.00567835
397164,0.00565066
406415,0.00563368
415882,0.00562655
425569,0.00562847
435482,0.00563865
445625,0.00565631
456005,0.00568075
466627,0.00571127
477496,0.00574722
488619,0.005788
500000,0.00583305
511646,0.00588184
523564,0.00593389
535760,0.00598875
548239,0.00604602
561009,0.00610533
574077,0.00616632
587449,0.0062287
601132,0.00629216
615134,0.00635646
629463,0.00642136
644125,0.00648665
659128,0.00655212
674481,0.00661762
690192,0.00668297
706269,0.00674803
722720,0.00681268
739554,0.0068768
756781,0.00694028
774408,0.00700304
792447,0.00706498
810905,0.00712603
829793,0.00718614
849122,0.00724523
868900,0.00730326
889140,0.00736019
909850,0.00741597
931044,0.00747058
952730,0.007524
974922,0.00757619
997631,0.00762714
